ad_id,rooms_count,area_m2,ceiling_height_m,price_rub,metro_distance_min,floors,passenger_elevator,cargo_elevator,bathroom_combined,bathroom_separate,balcony,loggia,price_per_metr,apartment_density,near_metro,parking_encoded,type_house_encoded,renovation_Дизайнерский,renovation_Евроремонт,renovation_Косметический,windows_На улицу,windows_На улицу и двор,garbage_chute_Нет,district_encoded,children_allowed_Нет,pets_allowed_Нет,premium_apartment
223918678,5,255,2.99,850000,8,9,0,0,2,1,0,0,3325,51,1,2,4,False,True,False,False,False,True,6,False,False,1
274391259,5,186,3.3,190000,5,3,0,0,2,0,0,0,1021,37,1,2,8,False,True,False,False,True,False,6,False,False,0
272945376,3,100,3.2,200000,5,8,1,0,2,0,0,0,2000,33,1,1,5,False,True,False,False,True,True,6,False,False,0
272612966,5,150,2.99,200000,11,7,1,0,2,0,1,0,1333,30,0,2,5,False,True,False,False,False,True,6,True,True,0
271568490,5,140,2.99,300000,7,7,1,0,0,0,0,0,2142,28,1,2,5,True,False,False,True,False,True,6,False,True,0
264664760,3,132,2.99,400000,15,13,0,0,2,0,0,0,3012,44,0,2,4,False,True,False,False,False,True,6,False,False,0
228923308,5,256,3.0,750000,10,10,1,1,2,2,0,0,2929,51,0,4,3,True,False,False,False,True,False,6,False,False,1
267489303,6,380,4.0,870000,5,6,1,0,2,1,0,0,2289,63,1,2,8,False,False,True,False,True,False,6,False,False,1
273353104,3,112,3.15,350000,7,13,0,0,0,2,0,0,3125,37,1,4,3,False,False,False,False,False,False,6,True,True,0
273353103,2,91,3.15,400000,7,13,0,0,0,2,0,0,4395,45,1,4,3,False,False,False,False,False,False,6,True,True,0
268321690,3,135,2.99,400000,11,13,2,1,1,1,0,0,2962,45,0,4,3,True,False,False,False,True,True,6,False,False,0
269496185,4,190,3.2,590000,3,5,1,1,2,0,0,0,3105,47,1,4,3,True,False,False,False,True,True,6,False,True,1
272188531,2,44,4.15,135000,15,26,0,0,0,1,0,0,3068,22,0,2,5,False,False,False,False,False,False,6,True,True,0
272727784,3,85,2.99,150000,0,7,0,0,1,0,1,0,1764,28,1,2,5,False,True,False,False,False,True,6,False,False,0
267110043,2,100,3.0,320000,7,7,1,1,0,2,1,0,3200,50,1,2,3,False,False,False,True,False,False,6,False,True,0
265323319,3,133,3.15,400000,7,13,0,0,0,2,0,0,3000,44,1,4,3,False,False,False,False,False,False,6,False,True,0
265804792,4,210,3.8,400000,7,5,0,0,0,3,1,0,1904,52,1,2,5,False,False,False,False,True,False,6,True,False,0
239000408,4,180,2.99,450000,9,4,0,0,0,2,0,0,2500,45,1,2,5,False,False,False,False,False,False,6,False,False,0
271209314,4,165,3.35,470000,5,16,1,1,0,2,0,0,2848,41,1,2,3,False,False,False,False,False,False,6,True,False,0
269889430,4,190,4.05,590000,6,6,0,0,0,2,0,0,3105,47,1,2,5,False,False,False,False,False,False,6,True,False,1
241704098,4,168,3.35,600000,5,16,1,1,0,2,0,0,3571,42,1,2,3,False,False,False,False,False,False,6,False,True,1
239000331,5,250,2.99,850000,8,9,1,1,0,3,0,0,3400,50,1,2,3,False,False,False,False,False,False,6,True,False,1
272823500,3,85,2.99,150000,7,7,1,0,1,0,1,0,1764,28,1,4,2,False,True,False,False,False,True,6,True,True,0
274402813,3,105,2.99,195000,5,17,0,0,3,0,0,0,1857,35,1,4,3,False,True,False,False,True,True,6,False,False,0
270190788,3,134,2.99,300000,5,16,1,0,0,2,1,0,2238,44,1,4,4,False,True,False,False,False,True,6,False,False,0
271265359,2,60,3.2,90000,5,6,1,0,1,0,0,0,1500,30,1,1,5,False,True,False,False,True,True,6,False,True,0
274289253,3,85,2.99,150000,7,7,0,0,0,0,1,0,1764,28,1,2,5,True,False,False,False,False,True,6,True,True,0
274150874,5,150,2.99,250000,4,6,0,0,0,0,0,0,1666,30,1,2,5,True,False,False,False,False,True,6,True,True,0
274849686,4,142,3.2,350000,5,13,1,0,2,0,0,0,2464,35,1,4,5,False,True,False,False,True,True,6,True,True,0
274315381,5,222,2.99,450000,6,9,1,0,0,0,0,1,2027,44,1,2,5,False,True,False,True,False,True,6,False,False,0
273779074,2,60,3.6,120000,7,6,1,0,1,0,0,0,2000,30,1,2,2,False,False,False,True,False,True,6,False,False,0
274217247,3,103,3.8,120000,8,3,0,0,1,0,0,0,1165,34,1,2,2,False,False,False,False,True,True,6,False,True,0
272156997,5,170,3.2,175000,5,5,1,0,2,0,0,0,1029,34,1,1,2,False,True,False,False,False,True,6,False,False,0
274617827,5,200,2.99,190000,8,3,0,0,0,0,0,0,950,40,1,2,2,False,True,False,False,False,True,6,False,False,0
274252871,3,105,3.0,240000,5,17,2,1,2,1,0,1,2285,35,1,4,4,False,False,False,False,True,False,6,False,False,0
269132104,1,60,3.0,250000,10,12,1,1,1,0,0,0,4166,60,0,4,3,False,True,False,False,False,True,6,False,True,0
273911217,5,155,2.99,250000,6,6,1,0,0,0,0,0,1612,31,1,2,5,True,False,False,True,False,True,6,True,True,0
269716469,3,134,3.0,300000,5,16,1,1,2,0,0,0,2238,44,1,4,3,False,True,False,False,True,False,6,False,False,0
274137125,5,214,2.99,500000,0,13,1,0,4,0,0,0,2329,42,1,4,5,True,False,False,False,True,True,6,False,False,0
274140104,5,204,3.2,500000,5,14,1,1,4,0,0,0,2450,40,1,1,4,False,False,False,False,False,True,6,False,False,0
271258034,5,180,2.99,500000,9,8,1,0,0,0,0,1,2777,36,1,2,5,False,True,False,False,False,True,6,False,True,0
166833883,6,260,2.99,590000,6,8,1,1,3,1,2,3,2269,43,1,2,2,True,False,False,True,False,True,6,False,False,1
273798495,4,237,2.99,650000,6,11,2,0,2,1,0,1,2741,59,1,2,4,True,False,False,False,True,True,6,True,True,1
274810876,4,215,2.99,700000,4,5,0,0,3,0,0,0,3255,53,1,4,2,False,True,False,False,False,True,6,True,True,1
274199925,3,100,2.99,115000,0,3,0,0,0,0,0,0,1150,33,1,2,5,False,False,False,False,False,True,6,False,True,0
274223065,2,60,2.99,120000,8,6,0,0,0,0,0,0,2000,30,1,2,5,True,False,False,True,False,True,6,True,True,0
271264562,5,170,3.2,175000,5,5,1,0,2,0,0,0,1029,34,1,1,8,False,True,False,False,True,False,6,False,False,0
272632345,3,98,3.0,185000,6,6,1,0,0,1,0,0,1887,32,1,2,2,False,False,False,False,False,False,6,True,True,0
274018110,2,175,3.1,200000,5,9,1,1,0,2,0,0,1142,87,1,4,3,False,False,False,False,False,False,6,True,True,0
274029603,4,180,2.99,350000,5,4,1,0,3,0,0,0,1944,45,1,2,2,False,True,False,False,True,True,6,False,True,0
274548856,4,132,2.99,350000,6,13,2,2,2,0,0,0,2651,33,1,4,3,True,False,False,False,False,True,6,False,False,0
271766412,6,228,2.99,400000,4,6,1,0,2,0,1,0,1754,38,1,2,5,False,True,False,False,False,True,6,True,True,0
269165004,3,92,4.2,470000,2,7,1,1,0,2,0,0,5092,30,1,3,3,False,False,False,False,False,False,6,True,True,0
274105576,5,204,3.2,500000,5,13,1,0,4,0,1,0,2450,40,1,4,5,False,True,False,False,True,True,6,False,False,0
273785180,4,160,3.2,650000,4,26,1,0,3,0,0,0,4062,40,1,2,5,False,True,False,False,True,True,6,False,False,1
273785183,4,140,3.2,650000,4,26,1,0,3,0,0,0,4642,35,1,2,5,False,True,False,False,True,True,6,False,False,1
273785185,4,140,3.2,700000,4,26,1,0,3,0,1,1,5000,35,1,2,5,False,True,False,False,True,True,6,False,False,1
274528249,1,45,2.99,120000,3,7,1,0,1,0,1,0,2666,45,1,1,2,True,False,False,False,False,True,6,True,True,0
274431438,3,65,3.2,130000,3,7,1,0,1,0,0,0,2000,21,1,1,5,False,True,False,False,True,True,6,False,False,0
274064272,3,87,2.99,140000,5,7,1,0,0,1,0,0,1609,29,1,2,2,False,True,False,False,True,False,6,True,True,0
273078340,3,90,3.0,145000,6,12,2,0,1,0,1,0,1611,30,1,2,2,True,False,False,False,True,False,6,False,False,0
274359655,4,180,2.99,350000,7,4,1,0,0,3,0,0,1944,45,1,4,2,False,True,False,False,False,True,6,True,True,0
272226556,4,180,2.99,400000,10,3,0,0,0,0,1,0,2222,45,0,2,5,True,False,False,False,False,True,6,False,True,0
273114736,4,170,2.99,650000,5,7,0,0,0,0,2,0,3823,42,1,2,5,True,False,False,False,False,True,6,False,False,1
274319903,3,75,2.99,99000,3,10,1,1,0,1,0,0,1320,25,1,2,2,False,False,True,False,False,True,6,False,False,0
273427928,3,87,2.99,100000,11,7,1,0,1,0,0,0,1149,29,0,2,2,True,False,False,True,False,True,6,False,True,0
274296188,3,105,3.0,180000,8,9,1,0,2,0,1,0,1714,35,1,2,2,False,False,True,False,True,False,6,False,True,0
272887177,3,99,3.2,200000,5,9,1,1,2,0,0,1,2020,33,1,4,2,False,False,False,False,False,True,6,False,True,0
269319175,1,60,3.5,250000,7,11,2,0,1,0,0,0,4166,60,1,4,4,False,False,False,False,False,True,6,False,True,0
269687656,4,140,2.99,280000,6,6,1,0,2,0,0,0,2000,35,1,2,5,False,True,False,False,False,True,6,True,True,0
274501292,3,120,2.99,300000,0,5,1,0,2,0,0,0,2500,40,1,2,5,True,False,False,False,True,True,6,False,False,0
261980888,3,133,2.8,400000,6,13,2,2,2,0,0,0,3007,44,1,4,4,False,False,False,False,False,True,6,False,True,0
272567246,4,180,2.99,400000,4,4,1,0,3,0,1,0,2222,45,1,2,3,False,False,False,False,False,True,6,False,False,0
274930877,4,219,2.99,450000,5,9,0,0,2,1,0,1,2054,54,1,4,4,False,False,False,False,False,True,6,True,True,0
273576298,3,130,2.99,450000,6,8,0,0,2,0,1,0,3461,43,1,4,2,False,False,False,False,False,True,6,False,True,0
271108834,5,180,3.0,500000,8,7,1,0,2,1,1,0,2777,36,1,4,3,True,False,False,False,True,False,6,False,True,0
256631457,4,190,3.2,520000,8,7,1,1,2,0,1,0,2736,47,1,1,2,False,False,False,False,True,True,6,False,True,1
271988698,3,174,2.99,550000,9,16,4,0,1,1,0,0,3160,58,1,2,4,True,False,False,False,True,False,6,False,False,1
271305644,6,336,2.99,590000,12,5,0,0,0,0,0,0,1755,56,0,2,5,True,False,False,False,False,True,6,True,True,1
271097684,4,170,2.99,650000,2,7,1,1,2,1,1,1,3823,42,1,4,4,True,False,False,False,False,False,6,False,False,1
273106501,6,338,3.2,650000,5,6,2,0,3,0,0,0,1923,56,1,1,2,False,False,False,False,True,True,2,False,False,1
274066192,2,52,2.99,80000,8,24,0,0,1,0,0,0,1538,26,1,1,5,False,False,False,True,False,True,6,False,True,0
273763131,3,91,2.99,95000,4,10,1,0,0,1,0,0,1043,30,1,2,5,False,False,False,False,False,True,6,True,True,0
273684904,2,56,2.99,105000,9,16,1,1,0,1,1,0,1875,28,1,1,5,False,False,False,False,True,True,6,False,False,0
271542995,3,80,3.2,120000,8,6,1,0,1,0,2,0,1500,26,1,1,8,False,False,False,False,False,True,6,True,True,0
273012299,2,94,3.2,135000,8,5,1,0,1,0,0,0,1436,47,1,2,2,False,False,False,False,True,True,6,True,True,0
270282698,2,40,3.0,135000,7,26,3,3,1,1,0,0,3375,20,1,2,4,False,False,False,True,False,True,6,False,True,0
274336333,3,94,5.5,145000,0,4,0,0,2,0,0,0,1542,31,1,1,2,False,True,False,False,False,True,6,False,True,0
272244255,3,90,2.99,145000,6,12,0,0,0,1,0,0,1611,30,1,1,2,False,False,False,True,False,True,6,True,True,0
272701749,2,120,3.0,165000,7,4,0,0,1,0,0,0,1375,60,1,1,8,False,False,False,True,False,True,6,True,True,0
271204399,5,170,2.99,175000,7,5,1,0,0,0,0,0,1029,34,1,2,5,False,True,False,False,False,True,6,True,True,0
274879736,3,140,3.2,180000,5,6,1,0,2,0,0,0,1285,46,1,2,8,False,False,True,False,True,False,6,False,False,0
271827359,1,41,2.99,180000,7,13,0,0,0,0,0,0,4390,41,1,2,5,True,False,False,False,False,True,6,True,True,0
256631941,3,120,3.0,190000,7,5,1,0,2,0,0,0,1583,40,1,1,8,False,False,False,True,False,True,6,False,False,0
272917777,3,95,2.99,200000,10,9,1,0,0,2,1,0,2105,31,0,4,4,False,True,False,False,False,False,6,True,True,0
252536547,4,130,2.99,220000,4,5,1,0,2,0,0,0,1692,32,1,2,2,False,False,True,False,False,True,2,False,False,0
274434108,3,70,2.99,230000,7,26,2,2,2,0,0,0,3285,23,1,2,5,True,False,False,False,False,True,6,False,True,0
272559990,2,63,2.99,270000,7,13,0,0,0,0,0,0,4285,31,1,2,5,True,False,False,False,False,True,6,True,True,0
269465572,4,189,2.99,330000,7,9,1,0,0,2,1,0,1746,47,1,4,2,False,True,False,False,False,True,6,True,True,0
263779667,2,120,3.8,330000,4,6,1,0,1,1,0,0,2750,60,1,4,2,False,False,False,False,False,True,6,True,True,0
272128059,4,212,2.99,350000,0,17,1,0,2,0,0,0,1650,53,1,2,5,True,False,False,False,True,True,6,False,False,0
224335583,4,111,2.99,350000,12,10,0,0,2,1,0,1,3153,27,0,2,5,False,True,False,False,False,True,6,False,False,0
271627634,2,92,2.99,350000,7,13,0,0,0,0,0,0,3804,46,1,2,5,True,False,False,False,False,True,6,True,True,0
274700592,4,132,2.99,350000,4,13,1,0,2,0,0,0,2651,33,1,2,5,False,False,False,True,False,True,6,True,True,0
273231375,4,202,2.99,360000,5,6,0,0,0,0,0,0,1782,50,1,2,5,True,False,False,False,False,True,6,True,True,0
271586905,2,123,2.99,400000,7,13,0,0,0,0,0,0,3252,61,1,2,5,True,False,False,False,False,True,6,True,True,0
274315960,3,130,2.99,450000,10,7,0,0,0,0,1,0,3461,43,0,2,5,True,False,False,False,False,True,6,False,True,0
272845144,3,180,2.99,450000,15,9,0,0,0,0,0,0,2500,60,0,2,5,True,False,False,False,False,True,6,True,True,0
274743086,5,220,2.99,450000,4,9,4,0,2,1,1,0,2045,44,1,2,4,False,True,False,False,True,False,6,False,False,0
271776317,4,180,2.99,450000,6,11,1,0,2,0,0,0,2500,45,1,2,5,False,True,False,False,False,True,6,False,False,0
267884643,4,206,3.2,470000,15,9,1,1,2,1,0,0,2281,51,0,4,3,True,False,False,False,True,False,6,False,True,0
274252226,5,215,2.99,500000,6,13,1,0,0,4,0,0,2325,43,1,4,4,False,True,False,False,False,False,6,False,False,0
273970263,4,195,3.2,520000,7,7,1,0,2,0,1,0,2666,48,1,1,2,True,False,False,False,False,False,6,True,True,1
269515978,4,186,3.2,590000,4,6,1,0,2,0,0,0,3172,46,1,4,2,False,False,False,False,False,True,6,False,True,1
267915862,6,336,2.99,590000,5,4,1,0,4,0,0,0,1755,56,1,2,2,True,False,False,False,False,True,6,False,False,1
273687210,6,380,2.99,650000,4,5,1,0,0,3,0,0,1710,63,1,2,5,False,True,False,True,False,True,6,False,False,1
274009456,2,53,3.2,80000,5,24,1,0,1,0,0,0,1509,26,1,2,5,False,True,False,False,True,True,6,True,True,0
274723871,2,53,2.5,80000,10,24,1,1,0,1,0,0,1509,26,0,1,5,False,True,False,False,False,True,6,False,True,0
274548003,2,60,2.99,90000,6,24,2,0,1,0,0,0,1500,30,1,1,5,False,False,True,True,False,False,6,False,False,0
229808794,1,30,2.99,95000,9,26,2,2,1,0,0,0,3166,30,1,1,5,True,False,False,True,False,True,6,True,True,0
274903280,3,80,2.99,100000,6,12,2,0,0,0,0,0,1250,26,1,2,2,False,True,False,False,False,False,6,False,True,0
271439388,3,68,2.8,100000,5,6,1,0,1,0,1,0,1470,22,1,1,2,False,True,False,False,False,True,6,False,False,0
273474991,2,55,2.8,105000,10,16,1,1,0,1,0,1,1909,27,0,2,6,False,True,False,True,False,False,4,False,False,0
274135582,2,55,3.2,110000,2,10,1,0,1,0,0,0,2000,27,1,1,5,False,True,False,True,False,True,6,False,False,0
274880892,3,103,2.99,120000,9,3,0,0,1,0,0,0,1165,34,1,2,2,True,False,False,False,True,True,6,False,False,0
271716464,3,80,2.99,120000,10,6,1,0,0,0,1,0,1500,26,0,2,5,False,True,False,False,False,True,6,True,True,0
271249218,2,65,3.0,130000,5,7,1,0,1,0,0,0,2000,32,1,4,2,True,False,False,False,False,True,6,False,True,0
274012210,2,98,3.4,135000,5,5,1,0,1,0,0,0,1377,49,1,2,8,False,True,False,False,False,False,6,False,True,0
269317588,2,40,2.4,135000,9,26,2,2,1,1,0,0,3375,20,1,2,4,True,False,False,False,True,True,6,True,True,0
273650910,2,89,2.99,135000,9,6,1,0,1,0,0,0,1510,44,1,2,2,False,True,False,True,False,False,6,False,False,0
273823802,3,90,2.99,145000,6,12,2,0,0,1,0,0,1611,30,1,2,2,True,False,False,False,True,False,6,False,False,0
272821193,3,90,3.2,150000,5,7,1,0,1,0,0,0,1666,30,1,1,5,False,True,False,False,True,True,6,False,False,0
274103646,3,100,2.99,150000,6,5,1,0,1,1,0,0,1500,33,1,2,8,False,False,True,False,False,True,6,False,False,0
236632140,2,43,4.0,150000,9,26,0,4,2,0,0,0,3464,21,1,2,4,True,False,False,False,False,True,6,True,True,0
274478078,3,110,3.0,160000,8,12,1,0,1,0,1,0,1454,36,1,1,6,False,True,False,False,True,True,6,False,True,0
272710931,2,120,3.0,165000,7,4,0,0,1,0,1,0,1375,60,1,2,8,False,True,False,False,False,False,6,True,True,0
272047599,3,117,3.0,170000,6,8,1,0,1,0,0,0,1452,39,1,2,2,False,True,False,False,False,True,6,False,False,0
273235893,3,120,3.0,180000,10,6,1,0,2,0,0,1,1500,40,0,4,3,False,True,False,False,False,True,6,False,True,0
271487126,4,96,2.99,180000,10,5,1,0,1,1,1,0,1875,24,0,2,2,False,True,False,False,False,False,6,False,False,0
236952590,2,120,4.0,190000,8,5,1,0,2,0,0,0,1583,60,1,2,8,False,False,True,False,False,True,6,False,True,0
267882068,3,120,2.99,195000,9,12,1,1,1,1,2,0,1625,40,1,2,2,True,False,False,False,True,False,6,False,True,0
271577440,2,75,3.2,200000,10,10,2,0,1,0,0,0,2666,37,0,4,3,True,False,False,True,False,True,6,False,False,0
273795577,3,99,2.99,200000,5,9,2,0,2,0,0,1,2020,33,1,2,4,True,False,False,False,False,True,6,False,False,0
271764581,4,130,3.2,220000,10,6,1,0,2,0,0,0,1692,32,0,1,8,True,False,False,False,False,False,6,False,True,0
274744370,3,120,2.99,230000,0,9,1,1,2,0,0,1,1916,40,1,2,5,True,False,False,False,True,True,6,False,False,0
274442273,3,105,2.99,250000,7,4,1,0,0,2,0,0,2380,35,1,4,4,False,True,False,False,False,False,6,True,True,0
273689040,3,115,3.0,250000,9,7,1,1,2,0,1,1,2173,38,1,1,4,False,True,False,False,False,False,6,False,False,0
274455073,5,165,3.2,250000,7,8,1,0,3,0,0,0,1515,33,1,1,5,False,True,False,False,True,True,6,False,False,0
272262503,1,65,2.99,270000,0,13,1,0,1,0,0,0,4153,65,1,4,5,True,False,False,False,True,True,4,False,False,0
267127816,2,76,3.0,270000,20,13,1,1,1,1,0,0,3552,38,0,4,3,False,True,False,True,False,True,6,True,True,0
274999073,3,126,3.2,300000,4,9,1,0,2,0,1,0,2380,42,1,1,5,False,True,False,True,False,True,6,False,False,0
273894772,3,124,3.2,300000,10,17,1,0,2,0,0,0,2419,41,0,4,5,False,True,False,False,True,True,6,True,True,0
274085397,2,130,3.8,330000,5,6,1,0,1,1,0,0,2538,65,1,4,2,True,False,False,False,True,True,6,True,True,0
269357269,4,190,3.2,330000,5,8,1,0,2,0,0,0,1736,47,1,4,5,False,True,False,False,True,True,6,False,True,0
273906122,4,178,3.0,350000,4,13,2,0,2,0,0,1,1966,44,1,4,4,True,False,False,False,False,True,6,False,True,0
241709509,4,135,3.0,350000,15,10,1,0,2,0,1,0,2592,33,0,2,6,False,True,False,True,False,False,6,True,True,0
267357413,4,130,2.99,350000,0,11,0,0,0,0,0,0,2692,32,1,4,5,True,False,False,True,False,False,6,True,True,0
268872145,4,212,3.2,350000,10,17,1,0,3,0,0,0,1650,53,0,2,5,False,True,False,False,True,True,6,False,False,0
272718014,4,178,2.99,350000,0,13,1,0,2,2,1,0,1966,44,1,2,3,False,True,False,False,False,True,6,True,True,0
274095176,4,201,2.99,360000,5,5,1,0,3,0,0,0,1791,50,1,2,2,True,False,False,True,False,True,6,False,False,0
272406227,5,181,3.4,370000,9,8,1,0,2,1,1,0,2044,36,1,1,2,True,False,False,False,True,False,6,True,True,0
269938440,2,123,2.99,400000,15,13,0,0,1,1,0,0,3236,61,0,2,4,False,True,False,False,True,True,6,False,False,0
265972115,3,129,2.99,400000,8,13,1,0,2,0,0,0,3100,43,1,2,4,True,False,False,False,False,True,6,True,True,0
272294030,4,176,3.2,400000,7,4,1,0,4,0,1,0,2272,44,1,1,5,False,True,False,True,False,True,6,False,False,0
271917911,4,190,3.3,400000,9,16,4,1,3,0,0,0,2105,47,1,4,4,True,False,False,False,True,False,6,False,False,0
272096512,4,180,3.2,450000,7,11,1,0,2,0,0,0,2500,45,1,1,5,False,True,False,False,True,True,6,False,True,0
271453191,4,247,3.0,500000,0,17,1,1,0,2,1,0,2024,61,1,2,2,True,False,False,False,False,True,2,False,False,0
259213637,3,110,3.3,500000,2,7,2,0,2,0,0,1,4545,36,1,4,4,True,False,False,False,False,True,6,True,True,0
271066176,5,180,3.2,500000,7,7,1,0,3,0,1,1,2777,36,1,4,5,False,True,False,False,True,True,6,False,False,0
274431441,4,300,3.2,500000,8,6,1,0,3,0,1,0,1666,75,1,1,5,False,True,False,False,True,True,6,False,False,0
274751643,3,190,3.0,500000,9,16,3,1,0,2,0,0,2631,63,1,4,4,True,False,False,False,True,False,6,False,False,0
272470364,5,180,2.99,500000,9,6,3,0,2,0,0,1,2777,36,1,2,4,True,False,False,True,False,True,6,False,False,0
271499362,4,209,2.99,550000,6,9,4,0,3,0,0,0,2631,52,1,2,4,False,False,True,False,True,False,6,False,True,1
265591858,3,173,3.2,550000,6,16,4,0,2,0,0,1,3177,57,1,4,4,True,False,False,False,False,False,6,False,True,1
267743247,6,336,3.2,590000,7,4,1,0,4,0,0,0,1755,56,1,1,5,False,True,False,False,True,True,6,False,False,1
270598847,4,190,3.2,600000,4,5,1,0,2,0,0,0,3157,47,1,4,5,False,True,False,False,True,True,6,False,False,1
271983799,6,258,3.2,600000,6,11,1,0,3,0,1,0,2325,43,1,1,5,False,True,False,False,True,True,6,False,True,1
274686779,3,76,2.74,60000,4,14,2,0,0,1,1,1,789,25,1,2,5,False,False,True,False,True,False,6,False,True,0
274862000,1,35,2.6,36000,25,9,1,0,1,0,0,1,1019,35,0,2,4,False,True,False,False,False,True,2,False,False,0
274747534,2,71,2.7,55000,25,9,1,0,1,0,0,1,767,35,0,2,4,False,True,False,False,True,True,2,False,True,0
273551383,1,41,2.99,36000,20,15,2,0,0,1,0,1,873,41,0,2,5,False,False,True,True,False,False,2,False,False,0
273693111,3,70,2.4,65000,10,14,2,1,0,2,1,0,928,23,0,1,5,False,True,False,True,False,False,2,False,True,0
273510895,1,40,2.74,30000,4,14,2,0,1,0,0,1,750,40,1,2,5,False,False,True,False,False,False,6,False,True,0
265111957,2,57,2.64,45000,4,22,3,0,0,1,1,0,789,28,1,1,5,False,False,True,False,False,False,2,False,True,0
267761830,1,42,2.99,35000,20,15,2,0,0,1,1,0,833,42,0,2,4,False,False,True,False,False,False,2,False,True,0
271601843,3,68,2.99,48000,0,14,1,1,0,1,0,1,705,22,1,2,0,False,True,False,False,True,False,2,False,True,0
275004836,3,82,2.99,55000,11,14,0,0,0,1,1,0,670,27,0,2,5,False,False,True,False,True,True,2,True,True,0
273907511,1,41,2.64,29999,10,17,2,0,1,0,1,0,731,41,0,1,5,False,False,True,False,False,False,3,False,False,0
235355662,1,37,3.0,38000,4,17,2,0,0,1,1,0,1027,37,1,2,5,False,True,False,False,False,False,2,True,True,0
268903569,3,87,2.7,80000,14,17,2,2,0,2,1,0,919,29,0,2,5,False,False,False,False,True,True,3,False,True,0
274794055,3,84,2.99,95000,11,14,0,0,1,0,0,0,1130,28,0,2,5,False,False,False,False,False,True,2,False,True,0
274455296,1,38,2.99,28000,7,17,2,0,0,1,0,1,736,38,1,2,4,False,False,True,False,False,False,2,False,True,0
274838267,1,38,2.74,28000,20,17,2,0,1,0,0,1,736,38,0,2,5,False,False,True,False,False,False,6,True,True,0
274905945,1,35,2.64,29000,11,24,3,0,0,0,0,1,828,35,0,1,5,False,False,True,False,False,False,2,False,True,0
273089522,1,30,3.1,30000,15,4,0,0,1,0,0,0,1000,30,0,1,4,False,True,False,True,False,True,2,False,True,0
272169225,1,38,2.74,30000,20,17,2,0,1,0,1,0,789,38,0,1,3,False,False,True,False,False,False,6,False,True,0
